,,6275,"*",6325,"*"
378,6493,451,5,446,5
379,6536,264,4,267,4
380,6556,388,4,384,4
381,6561,102,4,100,4
382,6567,398,5,391,5
383,6581,473,5,462,5
384,6603,239,4,238,4
385,6623,144,4,143,4
386,6629,782,5,760,5
387,6703,115,4,117,4
388,6707,528,5,520,5
389,6765,316,5,425,5
390,6779,705,5,690,5
391,6787,405,5,395,5
392,6789,455,5,446,5
393,6815,335,5,434,5
394,6868,376,5,451,5
395,6891,315,5,398,5
396,6910,480,5,475,5
397,6927,117,4,116,4
398,6930,323,5,317,5
399,7001,239,3,234,3
400,7040,228,5,223,5
401,7051,336,5,332,5
402,7053,368,5,366,5
403,7056,440,5,436,5
404,7069,444,5,433,5
405,7138,485,5,483,5
406,7178,122,4,119,4
407,7235,160,4,157,4
408,7236,948,5,922,5
409,7237,217,5,243,5
410,7238,121,5,151,5
411,7279,191,5,188,5
412,7302,113,5,126,5
413,7310,198,4,201,4
414,7314,684,5,690,5
415,7328,104,4,103,4
416,7371,359,5,353,5
417,7377,126,4,125,4
418,739,202,5,197,5
419,7405,594,5,694,5
420,7418,244,5,241,5
421,7420,801,5,792,5
422,7442,104,5,134,5
423,7469,468,5,463,5
424,7478,445,5,450,5
425,7479,603,5,598,5
426,7488,620,5,624,5
427,7492,111,5,130,5
428,7514,183,5,203,5
429,7517,358,5,367,5
430,7528,156,4,153,4
431,7536,108,4,137,4
432,7547,116,5,135,5
433,7557,133,3,131,3
434,7560,240,5,237,5
435,7566,309,5,391,5
436,7568,111,5,152,5
437,7582,102,4,103,4
438,7592,323,5,316,5
439,7602,111,4,109,4
440,7614,243,5,237,5
441,7615,968,5,970,5
442,7635,165,4,180,4
443,7653,339,5,332,5
444,7710,118,4,115,4
445,7735,127,4,131,4
446,7740,460,5,451,5
447,7744,605,5,625,5
448,7750,423,5,413,5
449,7776,191,4,188,4
450,7796,364,4,361,4
451,7800,285,5,301,5
452,7834,709,5,702,5
453,7850,524,5,514,5
454,7866,586,5,638,5
455,7871,352,5,345,5
456,7882,101,4,998,5
457,7891,290,5,284,5
458,7906,714,5,698,5
459,7924,828,4,807,4
460,7928,457,5,450,5
461,7942,744,5,759,5
462,7947,965,5,974,5
463,7949,350,4,352,4
464,7950,752,5,735,5
465,7951,567,5,780,5
466,7955,466,5,463,5
467,7957,142,4,143,4
468,7977,376,5,372,5
469,7995,488,5,485,5
470,8001,272,5,268,5
471,8028,710,5,700,5
472,8044,179,5,229,5
473,8057,99,5,122,5
474,8075,518,5,503,5
475,8089,631,5,649,5
476,8097,321,5,317,5
477,8115,199,4,198,4
478,8123,497,5,493,5
479,8130,952,5,943,5
480,8131,818,5,810,5
481,8143,551,5,540,5
482,8162,270,4,265,4
483,8163,169,5,211,5
484,8167,618,5,599,5
485,8178,221,5,216,5
486,8223,152,5,206,5
487,8225,560,5,688,5
488,8232,236,4,235,4
489,8252,847,5,845,5
490,8264,344,5,337,5
491,8278,879,5,859,5
492,8284,319,5,369,5
493,8289,262,5,328,5
494,8301,301,5,291,5
495,8306,229,5,294,5
496,8309,480,5,478,5
497,8313,646,5,647,5
498,8315,702,5,695,5
499,8317,544,5,557,5
500,8322,197,4,192,4
501,8334,582,5,575,5
502,8335,434,5,422,5
503,8400,298,5,296,5
504,8414,208,4,206,4
505,8417,544,5,539,5
506,8421,101,5,147,5
507,8430,102,4,100,4
508,8436,98,5,134,5
509,8450,923,5,904,5
510,8454,604,5,602,5
511,8485,628,5,647,5
512,8494,551,5,540,5
513,8518,655,5,643,5
514,8522,330,5,321,5
515,8538,578,5,584,5
516,8541,373,5,368,5
517,8551,471,5,470,5
518,8558,942,5,933,5
519,8573,260,5,254,5
520,8574,138,5,134,5
521,8585,724,5,707,5
522,8613,364,5,358,5
523,8622,245,5,239,5
524,8634,955,5,933,5
525,8641,312,5,304,5
526,8650,244,4,246,4
527,8665,596,5,591,5
528,8667,889,5,885,5
529,8679,83,4,94,4
530,8684,153,4,152,4
531,8694,145,4,147,4
532,8698,114,4,144,4
533,8709,118,4,115,4
534,8717,252,5,244,5
535,8775,387,4,499,4
536,8780,512,5,508,5
537,8781,250,4,244,4
538,8795,594,5,662,5
539,8815,305,5,391,5
540,8819,577,5,580,5
541,8821,157,5,153,5
542,8830,437,5,431,5
543,8834,681,5,842,5
544,8841,651,5,632,5
545,8850,278,5,389,5
546,8852,995,5,991,5
547,8858,391,5,382,5
548,8880,377,5,370,5
549,8905,510,5,503,5
550,8162,649,5,654,5
551,8923,526,5,523,5
552,8940,202,5,278,5
553,8942,121,5,156,5
554,8961,118,4,118,4
555,8965,458,5,444,5
556,8969,611,5,603,5
557,8976,536,5,523,5
558,8984,426,5,418,5
559,8988,355,5,347,5
560,8991,333,5,402,5
561,9030,171,5,217,5
562,9036,294,5,379,5
563,9047,141,5,218,5
564,9055,121,5,149,5
565,9064,443,5,578,5
566,9072,716,5,706,5
567,9089,556,5,764,5
