,,6275,"*",6325,"*"
245,"BS 3852",113,4,110,4
246,"BS 3866",219,5,248,5
247,"BS 3876",158,5,170,5
248,"BS 3903",739,5,766,5
249,"BS 3915",125,5,151,5
250,"BS 3937",181,5,175,5
251,"BS 3950",395,5,468,5
252,"BS 3970",326,5,318,5
253,"BS 3975",870,5,853,5
254,"BS 3981",366,5,358,5
255,"BS 3982",656,4,641,4
256,"BS 3994",120,4,119,4
257,"BS 4031",110,4,108,4
258,"BS 4035",205,5,235,5
259,"BS 4084",219,5,216,5
260,"BS 4088",184,5,213,5
261,"BS 4127",203,5,242,5
262,"BS 4133",607,5,587,5
263,"BS 4295",281,4,274,4
264,"BS 4300",401,5,394,5
265,"BS 4301",723,4,726,4
266,"BS 4357",239,4,234,4
267,"BS 4359",104,4,102,4
268,"BS 4368",422,5,412,5
269,"BS 4371",248,5,282,5
270,"BS 4380",313,5,307,5
271,"BS 4386",542,5,523,5
272,"BS 4399",747,5,733,5
273,"BS 4468",302,5,294,5
274,"BS 4483",219,5,292,5
275,"BS 4517",80,4,92,4
276,"BS 4527",461,5,460,5
277,"BS 4534",344,4,336,4
278,"BS 4540",105,4,105,4
279,"BS 4554",268,4,261,4
280,"BS 4646",240,5,236,5
281,"BS 4660",119,4,116,4
282,"BS 4689",613,5,602,5
283,"BS 4733",290,5,284,5
284,"BS 4737",639,5,632,5
285,"BS 4738",260,5,253,5
286,"BS 4757",137,4,134,4
287,"BS 4785",569,5,549,5
288,"BS 4807",145,5,175,5
289,"BS 4825/6",218,4,214,4
290,"BS 4828",257,5,251,5
291,"BS 4902",363,5,453,5
292,"BS 4905",464,4,453,4
293,"BS 4910",145,4,195,4
294,"BS 4932",246,4,246,4
295,"BS 4949",162,5,228,5
296,"BS 4983",544,5,535,5
297,"BS 5015",401,5,484,5
298,"BS 5052",87,5,113,5
299,"BS 5054",292,4,287,4
300,"BS 5055",665,5,649,5
301,"BS 5056",890,4,866,4
302,"BS 5062",628,5,615,5
303,"BS 5064",241,5,263,5
304,"BS 5095",407,5,534,5
305,"BS 5105",254,5,246,5
306,"BS 5107",103,4,102,4
307,"BS 5150",298,5,338,5
308,"BS 5154",496,5,589,5
309,"BS 5181",208,5,258,5
310,"BS 5191",403,4,392,4
311,"BS 5291",802,5,784,5
312,"BS 5299",239,5,308,5
313,"BS 5300",279,5,339,5
314,"BS 5301",356,5,375,5
315,"BS 5340",434,3,427,3
316,"BS 5350",305,5,298,5
317,"BS 5351",491,5,480,5
318,"BS 5359",374,5,366,5
319,"BS 5404",693,5,681,5
320,"BS 5409",372,5,370,5
321,"BS 5435",152,4,150,4
322,"BS 5452",170,5,184,5
323,"BS 5477/8",723,5,708,5
324,"BS 5505/6",398,4,401,4
325,"BS 5511",720,5,706,5
326,"BS 5512",126,5,173,5
327,"BS 5544",436,5,432,5
328,"BS 5563",604,4,627,4
329,"BS 5584",130,5,159,5
330,"BS 5590",226,5,246,5
331,"BS 5594",176,5,201,5
332,"BS 5602",144,5,143,5
333,"BS 5654",118,5,145,5
334,"BS 5681",153,4,153,4
335,"BS 5685",212,4,207,4
336,"BS 5735",150,4,146,4
337,"BS 5739",276,5,325,5
338,"BS 5747",984,5,970,5
339,"BS 5793",326,4,317,4
340,"BS 5800",320,5,372,5
341,"BS 5842",358,5,349,5
342,"BS 5849",682,5,664,5
343,"BS 5867",787,5,772,5
344,"BS 5868",509,5,501,5
345,"BS 5879",842,5,973,5
346,"BS 5881",880,5,860,5
347,"BS 5889",466,5,467,5
348,"BS 5892",732,5,718,5
349,"BS 5903",488,5,480,5
350,"BS 5932",229,5,297,5
351,"BS 5933",774,5,765,5
352,"BS 5971",212,5,206,5
353,"BS 5972",285,5,278,5
354,"BS 5982",296,5,288,5
355,"BS 5986",764,5,757,5
356,"BS 6010",141,5,209,5
357,"BS 6023",474,5,461,5
358,"BS 6095",857,5,843,5
359,"BS 6117",362,5,355,5
360,"BS 6132",269,4,271,4
361,"BS 6148",266,4,268,4
362,"BS 6149",709,5,693,5
363,"BS 6168",520,5,508,5
364,"BS 6175",224,4,220,4
365,"BS 6200",361,5,457,5
366,"BS 6212",241,4,245,4
367,"BS 6220",156,4,155,4
368,"BS 6227",162,5,222,5
369,"BS 6242",124,5,173,5
370,"BS 6322",722,5,732,5
371,"BS 6324",656,5,640,5
372,"BS 6337",390,5,429,5
373,"BS 6378",258,4,252,4
374,"BS 6393",240,5,289,5
375,"BS 6410",140,4,138,4
376,"BS 6452",338,5,401,5
377,"BS 6484/5",544,5,535,5
378,"BS 6493",451,5,446,5
379,"BS 6536",264,4,267,4
380,"BS 6556",388,4,384,4
381,"BS 6561",102,4,100,4
382,"BS 6567",398,5,391,5
383,"BS 6581",473,5,462,5
384,"BS 6603",239,4,238,4
385,"BS 6623",144,4,143,4
386,"BS 6629",782,5,760,5
387,"BS 6703",115,4,117,4
388,"BS 6707",528,5,520,5
389,"BS 6765",316,5,425,5
390,"BS 6779",705,5,690,5
391,"BS 6787",405,5,395,5
392,"BS 6789",455,5,446,5
393,"BS 6815",335,5,434,5
394,"BS 6868",376,5,451,5
395,"BS 6891",315,5,398,5
396,"BS 6910",480,5,475,5
397,"BS 6927",117,4,116,4
398,"BS 6930",323,5,317,5
399,"BS 7001",239,3,234,3
400,"BS 7040",228,5,223,5
401,"BS 7051/2",336,5,332,5
402,"BS 7053/4",368,5,366,5
403,"BS 7056",440,5,436,5
404,"BS 7069",444,5,433,5
405,"BS 7138",485,5,483,5
406,"BS 7178",122,4,119,4
407,"BS 7235",160,4,157,4
408,"BS 7236",948,5,922,5
409,"BS 7237",217,5,243,5
410,"BS 7238",121,5,151,5
411,"BS 7279",191,5,188,5
412,"BS 7302",113,5,126,5
413,"BS 7310",198,4,201,4
414,"BS 7314",684,5,690,5
415,"BS 7328",104,4,103,4
416,"BS 7371",359,5,353,5
417,"BS 7377",126,4,125,4
418,"BS 739",202,5,197,5
419,"BS 7405",594,5,694,5
420,"BS 7418",244,5,241,5
421,"BS 7420",801,5,792,5
422,"BS 7442",104,5,134,5
423,"BS 7469",468,5,463,5
424,"BS 7478",445,5,450,5
425,"BS 7479",603,5,598,5
426,"BS 7488",620,5,624,5
427,"BS 7492",111,5,130,5
428,"BS 7514",183,5,203,5
429,"BS 7517",358,5,367,5
430,"BS 7528",156,4,153,4
431,"BS 7536",108,4,137,4
432,"BS 7547",116,5,135,5
433,"BS 7557",133,3,131,3
434,"BS 7560",240,5,237,5
435,"BS 7566",309,5,391,5
436,"BS 7568",111,5,152,5
437,"BS 7582",102,4,103,4
438,"BS 7592",323,5,316,5
439,"BS 7602",111,4,109,4
440,"BS 7614",243,5,237,5
441,"BS 7615",968,5,970,5
442,"BS 7635",165,4,180,4
443,"BS 7653",339,5,332,5
444,"BS 7710",118,4,115,4
445,"BS 7735",127,4,131,4
446,"BS 7740",460,5,451,5
447,"BS 7744",605,5,625,5
448,"BS 7750",423,5,413,5
449,"BS 7776",191,4,188,4
450,"BS 7796",364,4,361,4
451,"BS 7800",285,5,301,5
452,"BS 7834",709,5,702,5
453,"BS 7850",524,5,514,5
454,"BS 7866",586,5,638,5
455,"BS 7871",352,5,345,5
456,"BS 7882",101,4,998,5
457,"BS 7891",290,5,284,5
458,"BS 7906",714,5,698,5
459,"BS 7924",828,4,807,4
460,"BS 7928",457,5,450,5
461,"BS 7942",744,5,759,5
462,"BS 7947/8",965,5,974,5
463,"BS 7949",350,4,352,4
464,"BS 7950",752,5,735,5
465,"BS 7951",567,5,780,5
466,"BS 7955",466,5,463,5
467,"BS 7957",142,4,143,4
468,"BS 7977",376,5,372,5
469,"BS 7995",488,5,485,5
470,"BS 8001",272,5,268,5
471,"BS 8028",710,5,700,5
472,"BS 8044",179,5,229,5
473,"BS 8057",99,5,122,5
474,"BS 8075",518,5,503,5
475,"BS 8089",631,5,649,5
476,"BS 8097",321,5,317,5
477,"BS 8115",199,4,198,4
478,"BS 8123",497,5,493,5
479,"BS 8130",952,5,943,5
480,"BS 8131",818,5,810,5
481,"BS 8143",551,5,540,5
482,"BS 8162",270,4,265,4
483,"BS 8163",169,5,211,5
484,"BS 8167",618,5,599,5
485,"BS 8178",221,5,216,5
486,"BS 8223",152,5,206,5
487,"BS 8225",560,5,688,5
488,"BS 8232",236,4,235,4
489,"BS 8252",847,5,845,5
490,"BS 8264",344,5,337,5
491,"BS 8278",879,5,859,5
492,"BS 8284",319,5,369,5
493,"BS 8289",262,5,328,5
494,"BS 8301",301,5,291,5
495,"BS 8306",229,5,294,5
496,"BS 8309/10",480,5,478,5
497,"BS 8313",646,5,647,5
498,"BS 8315",702,5,695,5
499,"BS 8317",544,5,557,5
500,"BS 8322",197,4,192,4
501,"BS 8334",582,5,575,5
502,"BS 8335",434,5,422,5
503,"BS 8400",298,5,296,5
504,"BS 8414",208,4,206,4
505,"BS 8417",544,5,539,5
506,"BS 8421",101,5,147,5
507,"BS 8430",102,4,100,4
508,"BS 8436",98,5,134,5
509,"BS 8450",923,5,904,5
510,"BS 8454",604,5,602,5
511,"BS 8485",628,5,647,5
512,"BS 8494",551,5,540,5
513,"BS 8518",655,5,643,5
514,"BS 8522",330,5,321,5
515,"BS 8538",578,5,584,5
516,"BS 8541",373,5,368,5
517,"BS 8551",471,5,470,5
518,"BS 8558/9",942,5,933,5
519,"BS 8573",260,5,254,5
520,"BS 8574",138,5,134,5
521,"BS 8585",724,5,707,5
522,"BS 8613",364,5,358,5
523,"BS 8622",245,5,239,5
524,"BS 8634",955,5,933,5
525,"BS 8641",312,5,304,5
526,"BS 8650",244,4,246,4
527,"BS 8665",596,5,591,5
528,"BS 8667",889,5,885,5
529,"BS 8679",83,4,94,4
530,"BS 8684",153,4,152,4
531,"BS 8694",145,4,147,4
532,"BS 8698",114,4,144,4
533,"BS 8709",118,4,115,4
534,"BS 8717",252,5,244,5
535,"BS 8775",387,4,499,4
536,"BS 8780",512,5,508,5
537,"BS 8781",250,4,244,4
538,"BS 8795",594,5,662,5
539,"BS 8815",305,5,391,5
540,"BS 8819",577,5,580,5
541,"BS 8821",157,5,153,5
542,"BS 8830",437,5,431,5
543,"BS 8834",681,5,842,5
544,"BS 8841",651,5,632,5
545,"BS 8850",278,5,389,5
546,"BS 8852",995,5,991,5
547,"BS 8858",391,5,382,5
548,"BS 8880",377,5,370,5
549,"BS 8905",510,5,503,5
550,"BS 8162",649,5,654,5
551,"BS 8923",526,5,523,5
552,"BS 8940",202,5,278,5
553,"BS 8942",121,5,156,5
554,"BS 8961",118,4,118,4
555,"BS 8965",458,5,444,5
556,"BS 8969",611,5,603,5
557,"BS 8976",536,5,523,5
558,"BS 8984",426,5,418,5
559,"BS 8988",355,5,347,5
560,"BS 8991",333,5,402,5
561,"BS 9030",171,5,217,5
562,"BS 9036",294,5,379,5
563,"BS 9047",141,5,218,5
564,"BS 9055",121,5,149,5
565,"BS 9064",443,5,578,5
566,"BS 9072",716,5,706,5
567,"BS 9089",556,5,764,5
